r,Phi,Theta
1,-2.96547938011139,0.839811239780205
1,-2.68499109704244,0.842052763446175
1,-2.40871938646402,0.892291108547102
1,-2.1908370161355,0.928484662006709
1,-1.98079214114254,0.884657388090269
1,-1.71171525128216,0.848714634481399
1,-1.41768377627336,0.839717189836178
1,-1.14743126211265,0.87779174217632
1,-0.942449409106461,0.93045971083127
1,-0.715240419328632,0.903294951998226
1,-0.454643699421324,0.850987508128711
1,-0.162101348526281,0.844670486888251
1,0.10796306574638,0.868308372820294
1,0.315484267241287,0.920615816689809
1,0.527582566012161,0.884328213286175
1,0.812553896413055,0.83230291924874
1,1.08554953394122,0.831064594985722
1,1.35589609804596,0.885190337773087
1,1.57674104161131,0.92890788675483
1,1.79104951406682,0.877634992269608
1,2.07763536850683,0.831989419435318
1,2.33324744138072,0.843729987447984
1,2.62166726972926,0.886412987045433
1,2.8197834768215,0.924471864394904
1,3.02429508010756,0.89338835789408
1,-2.82034464148753,1.01148373761027
1,-2.38188380243507,1.05524831156403
1,-2.0050727016921,1.06664402978193
1,-1.56512273852588,1.00866223928947
1,-1.12722619913758,1.06813315389568
1,-0.78234505439168,1.06955957804676
1,-0.31206398427685,1.01363121133221
1,0.159267310212943,1.06553110544428
1,0.497439558951605,1.0611264330657
1,0.944443267919827,1.01855315840294
1,1.40875216658896,1.06286635703019
1,1.75835148352687,1.06358740660106
1,2.19458647390403,1.02322430562294
1,2.64969415304922,1.06001350872805
1,3.0076639150055,1.0600918836814
1,-2.93970969544808,1.20403532301426
1,-2.71620000346863,1.2062925216709
1,-2.48149836815001,1.21035234425472
1,-2.31493591727873,1.25527686751814
1,-2.0888085018572,1.25336451865626
1,-1.91570957987607,1.21574454104559
1,-1.68161926919362,1.20422342290232
1,-1.458689551869,1.20392559807956
1,-1.22643321509507,1.20713897116714
1,-1.05066954469985,1.25907021526055
1,-0.835044373027973,1.25344289360962
1,-0.651631307185242,1.22027461334954
